classe,residenza,mercato,periodo,kwh,f1,f2,f3,anno
3<potenza_impegnata<=4.5,Residente,Maggior Tutela,01,213.886,0.336696770080748,0.2866975964489777,0.3766056334702743,2025
1.5<potenza_impegnata<=3,Non Residente,Maggior Tutela,01,98.022,0.3265504173138073,0.285158063354735,0.38829151933145767,2025
1.5<potenza_impegnata<=3,Tutti,Servizio a tutele graduali domestici non vulnerabili,01,139.761,0.3061291736494995,0.30069479430672624,0.3931760320437742,2025
1.5<potenza_impegnata<=3,Residente,Tutti,01,148.794,0.31452333619628486,0.2982068592137401,0.38726980458997506,2025
0<potenza_impegnata<=1.5,Non Residente,Mercato Libero,01,34.731,0.32845535231656087,0.24983115623961963,0.4217134914438194,2025
0<potenza_impegnata<=1.5,Residente,Mercato Libero,01,70.95,0.3077442227317819,0.2861567139906653,0.4060990632775528,2025
0<potenza_impegnata<=1.5,Non Residente,Maggior Tutela,01,33.346,0.2749899214201214,0.2824513749826516,0.4425587035972269,2025
potenza_impegnata>6,Residente,Maggior Tutela,01,585.339,0.3268339402414585,0.2618352214301965,0.4113308383283449,2025
4.5<potenza_impegnata<=6,Tutti,Mercato Libero,01,334.266,0.3278201098740354,0.2860932546150181,0.38608663551094635,2025
3<potenza_impegnata<=4.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,01,191.558,0.3250040971633379,0.29696040358840253,0.3780354992482596,2025
3<potenza_impegnata<=4.5,Tutti,Mercato Libero,01,235.678,0.318810676818178,0.3030682927423251,0.37812103043949696,2025
4.5<potenza_impegnata<=6,Residente,Servizio a tutele graduali domestici non vulnerabili,01,313.203,0.3260464841610114,0.29317576301982545,0.3807777528191631,2025
4.5<potenza_impegnata<=6,Residente,Tutti,01,340.68,0.32529503005260946,0.28933654729610714,0.38536842265128335,2025
3<potenza_impegnata<=4.5,Tutti,Tutti,01,234.502,0.3194317289265536,0.3027158009597728,0.3778524701136736,2025
potenza_impegnata>6,Tutti,Tutti,01,785.557,0.3405608476797189,0.2590532002434077,0.4003859520768735,2025
1.5<potenza_impegnata<=3,Residente,Maggior Tutela,01,127.749,0.32729238313013803,0.2863842348303419,0.3863233820395201,2025
1.5<potenza_impegnata<=3,Non Residente,Mercato Libero,01,116.001,0.3185286090890123,0.29531943845851394,0.3861519524524737,2025
4.5<potenza_impegnata<=6,Residente,Maggior Tutela,01,300.865,0.349789571814892,0.2740818978317253,0.37612853035338273,2025
potenza_impegnata>6,Non Residente,Servizio a tutele graduali domestici non vulnerabili,01,687.702,0.340717709877218,0.2351865457574579,0.4240957443653241,2025
0<potenza_impegnata<=1.5,Residente,Maggior Tutela,01,66.07,0.3175489082303337,0.2747421119613151,0.40770897980835125,2025
0<potenza_impegnata<=1.5,Tutti,Maggior Tutela,01,54.306,0.3112958733414127,0.275874157111339,0.41282996954724843,2025
0<potenza_impegnata<=1.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,01,48.809,0.2949236183865173,0.28643824905921156,0.4186381325542711,2025
0<potenza_impegnata<=1.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,01,32.45,0.28170247686080185,0.2495640440926988,0.4687334790464993,2025
0<potenza_impegnata<=1.5,Residente,Servizio a tutele graduali domestici non vulnerabili,01,61.892,0.30008314087759813,0.30082832948421867,0.3990885296381832,2025
1.5<potenza_impegnata<=3,Non Residente,Servizio a tutele graduali domestici non vulnerabili,01,101.895,0.3109014018006032,0.2946496562020549,0.394448941997342,2025
0<potenza_impegnata<=1.5,Tutti,Mercato Libero,01,50.154,0.31470964349525954,0.27494272279981324,0.41034763370492716,2025
1.5<potenza_impegnata<=3,Residente,Servizio a tutele graduali domestici non vulnerabili,01,144.959,0.30523547746451435,0.30182686329574443,0.3929376592397413,2025
3<potenza_impegnata<=4.5,Tutti,Maggior Tutela,01,210.715,0.3413976164578928,0.28474986106080347,0.3738525224813037,2025
4.5<potenza_impegnata<=6,Tutti,Servizio a tutele graduali domestici non vulnerabili,01,305.405,0.3267458889311527,0.2901237449842208,0.3831303660846264,2025
3<potenza_impegnata<=4.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,01,232.435,0.3176464293541522,0.3060129607185457,0.37634060992730206,2025
potenza_impegnata>6,Non Residente,Mercato Libero,01,905.674,0.35153865687770447,0.247446404883641,0.40101493823865453,2025
potenza_impegnata>6,Residente,Tutti,01,754.413,0.33577823848911037,0.2646320880447443,0.3995896734661454,2025
1.5<potenza_impegnata<=3,Tutti,Mercato Libero,01,146.44,0.31514222369682154,0.2983079767407922,0.38654979956238633,2025
3<potenza_impegnata<=4.5,Residente,Servizio a tutele graduali domestici non vulnerabili,01,237.639,0.3163313770135783,0.3076309715788114,0.37603765140761025,2025
4.5<potenza_impegnata<=6,Non Residente,Servizio a tutele graduali domestici non vulnerabili,01,252.819,0.3310044538456335,0.27154031677125406,0.3974552293831124,2025
1.5<potenza_impegnata<=3,Residente,Mercato Libero,01,152.031,0.31420424244712714,0.2991091354769367,0.3866866220759362,2025
3<potenza_impegnata<=4.5,Non Residente,Tutti,01,197.32,0.32914073771201763,0.2902166612509278,0.38064260103705455,2025
0<potenza_impegnata<=1.5,Non Residente,Tutti,01,34.41,0.3156434948431555,0.25431169244327106,0.4300448127135734,2025
potenza_impegnata>6,Residente,Mercato Libero,01,777.076,0.33524104324969045,0.2662299469893289,0.3985290097609806,2025
3<potenza_impegnata<=4.5,Residente,Tutti,01,241.421,0.31678864786958905,0.3061998870426211,0.3770114650877898,2025
potenza_impegnata>6,Tutti,Servizio a tutele graduali domestici non vulnerabili,01,699.023,0.3427564366592801,0.25091945971520735,0.4063241036255127,2025
3<potenza_impegnata<=4.5,Residente,Mercato Libero,01,243.025,0.31603184305520426,0.3068497876611562,0.3771183692836395,2025
1.5<potenza_impegnata<=3,Tutti,Maggior Tutela,01,125.856,0.32724468780994037,0.2862751279812728,0.3864801842087869,2025
3<potenza_impegnata<=4.5,Non Residente,Maggior Tutela,01,181.808,0.37625312815723344,0.27032194015531286,0.35342493168745376,2025
potenza_impegnata>6,Residente,Servizio a tutele graduali domestici non vulnerabili,01,701.605,0.34329276952289906,0.2550586229291243,0.4016486075479766,2025
3<potenza_impegnata<=4.5,Non Residente,Mercato Libero,01,198.115,0.3284985225690038,0.2902003295571069,0.38130114787388925,2025
4.5<potenza_impegnata<=6,Tutti,Maggior Tutela,01,294.094,0.3489532323815742,0.27352093601322053,0.3775258316052052,2025
4.5<potenza_impegnata<=6,Tutti,Tutti,01,329.639,0.3285164963050086,0.2860102496039649,0.3854732540910266,2025
0<potenza_impegnata<=1.5,Tutti,Tutti,01,50.701,0.31179883321732227,0.2763805654063035,0.4118206013763743,2025
4.5<potenza_impegnata<=6,Residente,Mercato Libero,01,346.205,0.32414518285237065,0.28951119132349834,0.386343625824131,2025
0<potenza_impegnata<=1.5,Residente,Tutti,01,68.97,0.3096759198522585,0.2844969826020264,0.4058270975457151,2025
1.5<potenza_impegnata<=3,Tutti,Tutti,01,143.818,0.3152602845015558,0.2975660873232975,0.3871736281751467,2025
potenza_impegnata>6,Non Residente,Maggior Tutela,01,711.719,0.34614470855335205,0.2510120542005866,0.40284323724606136,2025
4.5<potenza_impegnata<=6,Non Residente,Mercato Libero,01,280.594,0.3396932591129078,0.2747338488272021,0.38557289205989015,2025
1.5<potenza_impegnata<=3,Non Residente,Tutti,01,113.975,0.31816899285815403,0.294945422261374,0.3868855848804721,2025
4.5<potenza_impegnata<=6,Non Residente,Maggior Tutela,01,255.657,0.34628088036416604,0.2714295838285831,0.3822895358072507,2025
potenza_impegnata>6,Non Residente,Tutti,01,875.832,0.35024189082213647,0.24695044431587657,0.4028076648619871,2025
4.5<potenza_impegnata<=6,Non Residente,Tutti,01,277.612,0.3394158779292652,0.27439019985763496,0.3861939222130999,2025
potenza_impegnata>6,Tutti,Maggior Tutela,01,615.414,0.33581482832239906,0.2566803123621259,0.40750485931547514,2025
potenza_impegnata>6,Tutti,Mercato Libero,01,811.515,0.3406715333091652,0.2602818903659131,0.3990465763249218,2025
3<potenza_impegnata<=4.5,Residente,Maggior Tutela,02,184.671,0.3421957873957898,0.31432610486101026,0.34347810774319987,2025
potenza_impegnata>6,Non Residente,Maggior Tutela,02,602.119,0.3471863536773985,0.2668077479616482,0.38600589836095334,2025
3<potenza_impegnata<=4.5,Tutti,Maggior Tutela,02,183.199,0.3463487690463182,0.3103086713925823,0.34334255956109955,2025
4.5<potenza_impegnata<=6,Residente,Maggior Tutela,02,248.735,0.35026103278586884,0.3033130263469101,0.3464259408672209,2025
1.5<potenza_impegnata<=3,Non Residente,Maggior Tutela,02,86.849,0.3295048589749248,0.3073139513418763,0.36318118968319874,2025
0<potenza_impegnata<=1.5,Tutti,Maggior Tutela,02,44.455,0.30654857109110867,0.3027431507354931,0.39070827817339826,2025
0<potenza_impegnata<=1.5,Non Residente,Maggior Tutela,02,28.576,0.2568184331797235,0.30465622119815666,0.4385253456221198,2025
1.5<potenza_impegnata<=3,Tutti,Maggior Tutela,02,116.372,0.2941490280419335,0.2715015396446754,0.4343494323133911,2025
0<potenza_impegnata<=1.5,Residente,Maggior Tutela,02,53.52,0.31650919573159747,0.30235896284788577,0.3811318414205168,2025
3<potenza_impegnata<=4.5,Non Residente,Maggior Tutela,02,169.628,0.370239823631838,0.2871030781511908,0.3426570982169712,2025
1.5<potenza_impegnata<=3,Residente,Maggior Tutela,02,118.39,0.2916712021768105,0.26900446975009423,0.43932432807309524,2025
potenza_impegnata>6,Residente,Maggior Tutela,02,501.36,0.3373444641847813,0.2863507450143917,0.37630479080082707,2025
4.5<potenza_impegnata<=6,Non Residente,Maggior Tutela,02,246.138,0.3615954067568764,0.2665208633123146,0.37188372993080904,2025
4.5<potenza_impegnata<=6,Tutti,Maggior Tutela,02,248.314,0.3543786234091517,0.29008752474678706,0.35553385184406133,2025
potenza_impegnata>6,Residente,Tutti,02,639.659,0.33964860672447456,0.2888080879525765,0.37154330532294894,2025
0<potenza_impegnata<=1.5,Residente,Tutti,02,63.246,0.32344816906126356,0.30632254383033947,0.3702292871083969,2025
1.5<potenza_impegnata<=3,Non Residente,Tutti,02,102.475,0.32597304544767663,0.31789406836533474,0.3561328861869887,2025
3<potenza_impegnata<=4.5,Tutti,Tutti,02,205.835,0.32597490469054397,0.329917110831609,0.3441079844778471,2025
3<potenza_impegnata<=4.5,Residente,Tutti,02,211.196,0.32298186639152227,0.33378762118043726,0.34323051242804054,2025
4.5<potenza_impegnata<=6,Non Residente,Tutti,02,243.842,0.351141053080805,0.2956500030669511,0.3532089438522437,2025
1.5<potenza_impegnata<=3,Residente,Tutti,02,131.54,0.31909967033698344,0.3200280412700411,0.3608722883929754,2025
potenza_impegnata>6,Non Residente,Tutti,02,759.689,0.3733648984403843,0.26314392764946865,0.363491173910147,2025
4.5<potenza_impegnata<=6,Residente,Tutti,02,290.961,0.3299567401341135,0.3158699058023794,0.35417335406350703,2025
3<potenza_impegnata<=4.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,02,204.832,0.3211410942519737,0.3343480916252487,0.3445108141227776,2025
potenza_impegnata>6,Tutti,Servizio a tutele graduali domestici non vulnerabili,02,609.785,0.3556090777903856,0.2744404686459626,0.3699504535636519,2025
potenza_impegnata>6,Residente,Servizio a tutele graduali domestici non vulnerabili,02,616.432,0.3399239270465286,0.27962817158906567,0.38044790136440576,2025
4.5<potenza_impegnata<=6,Tutti,Servizio a tutele graduali domestici non vulnerabili,02,266.301,0.3316511088150933,0.3162536617390069,0.35209522944589994,2025
0<potenza_impegnata<=1.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,02,28.856,0.2944458993936219,0.2673435537917095,0.4382105468146686,2025
1.5<potenza_impegnata<=3,Tutti,Servizio a tutele graduali domestici non vulnerabili,02,123.226,0.31211192520870934,0.325649362148333,0.36223871264295754,2025
