classe,residenza,periodo,giorno,ora,kwh,anno
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,0,0.041,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,1,0.0383,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,2,0.0368,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,3,0.0361,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,4,0.0355,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,5,0.0359,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,6,0.037,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,7,0.0367,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,8,0.0354,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,9,0.0359,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,10,0.0365,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,11,0.037,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,12,0.0361,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,13,0.0353,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,14,0.0353,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,15,0.036,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,16,0.0377,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,17,0.0421,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,18,0.0448,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,19,0.0464,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,20,0.048,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,21,0.0489,2024
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,22,0.0465,2024
