time(UTC);T2m;RH;G(h);Gb(n);Gd(h);IR(h);WS10m;WD10m;SP
20180101:0000;1.99;87.86;0;0;0;286.65;1.15;79;100370
20180101:0100;2.07;88.57;0;0;0;294.52;1.13;195;100310
20180101:0200;2.14;89.27;0;0;0;302.38;1.11;225;100230
20180101:0300;2.22;89.98;0;0;0;310.25;1.09;284;100180
20180101:0400;2.29;90.68;0;0;0;318.12;1.07;294;100120
20180101:0500;2.37;91.39;0;0;0;325.98;1.05;275;100100
20180101:0600;2.44;92.09;0;0;0;333.85;1.03;235;100070
20180101:0700;2.52;92.8;0;0;0;341.71;1.01;227;100090
20180101:0800;2.99;95.7;54;20.72;51;312.35;2;218;100050
20180101:0900;3.74;95.7;58;0;58;292.05;2.28;241;100070
20180101:1000;4.99;88.85;194;114.55;156;298.2;2.55;245;100040
20180101:1100;6.04;82.55;39;0;39;302.3;3.03;244;100000
20180101:1200;7.18;82.65;108;0;108;303.65;3.38;249;99940
20180101:1300;7.83;79.7;75;0;75;289.3;3.03;241;99860
20180101:1400;8.19;76.85;75;9.58;73;288.95;2.21;234;99790
20180101:1500;7.71;79.7;5;0;5;284.3;1.38;211;99740
20180101:1600;6.06;85.7;0;0;0;254.85;2;178;99680
20180101:1700;4.13;92.2;0;0;0;266.1;1.66;142;99610
20180101:1800;3.04;95.7;0;0;0;283.1;1.59;64;99580
20180101:1900;3.64;95.7;0;0;0;283.9;0.41;286;99600
20180101:2000;3.32;95.7;0;0;0;281.6;0.28;223;99530
20180101:2100;2.75;95.7;0;0;0;279.85;0.62;183;99530
20180101:2200;2.24;99.4;0;0;0;259.5;0.76;236;99500
20180101:2300;0.13;100;0;0;0;271.5;1.59;278;99530
20180102:0000;-0.26;100;0;0;0;270.55;1.79;281;99520
20180102:0100;0.05;99.4;0;0;0;277.8;2.07;260;99540
20180102:0200;0.23;100;0;0;0;269.75;2.62;245;99580
20180102:0300;0.66;99.4;0;0;0;281.6;3.17;246;99650
20180102:0400;0.68;99.4;0;0;0;285.45;3.52;251;99720
20180102:0500;0.51;99.4;0;0;0;268.6;3.45;253;99790
20180102:0600;0.52;99.4;0;0;0;278.65;3.31;258;99890
20180102:0700;0.35;92;0;0;0;239;2.76;254;100020
20180102:0800;0.71;92;117;537.6;39;242.3;2.62;255;100110
20180102:0900;2.55;82.15;239;707.88;57;238.05;2.48;263;100190
20180102:1000;5.62;70.85;329;799.57;63;235.3;2.55;276;100250
20180102:1100;8.61;61.3;360;763.65;80;242.5;2.76;294;100280
20180102:1200;10.8;53.1;352;784.9;72;244.6;2.48;307;100230
20180102:1300;11.69;47.6;286;701.64;73;253.5;2.69;320;100200
20180102:1400;11.24;49.3;182;602.44;55;249.85;2;321;100230
20180102:1500;9.86;52.85;51;294.96;26;253.1;2.14;276;100250
20180102:1600;7.28;58.8;0;0;0;245.2;2.9;262;100330
20180102:1700;5.11;65.55;0;0;0;241.15;2.69;265;100360
20180102:1800;3.48;73.3;0;0;0;241.15;2.55;272;100390
20180102:1900;3.45;76.15;0;0;0;285.25;2;286;100380
20180102:2000;3.16;79.1;0;0;0;290.85;1.72;291;100390
20180102:2100;2.72;76;0;0;0;278.3;1.59;285;100380
20180102:2200;1.95;78.95;0;0;0;271.5;1.59;281;100360
20180102:2300;1.46;78.9;0;0;0;285.05;1.72;293;100360
20180103:0000;1.38;78.9;0;0;0;282.15;1.72;308;100330
20180103:0100;1.19;75.75;0;0;0;258.45;1.59;311;100300
20180103:0200;1.9;67.5;0;0;0;253.15;1.17;284;100270
20180103:0300;1.66;70.1;0;0;0;280.6;1.24;268;100210
20180103:0400;0.31;81.8;0;0;0;274.05;1.72;278;100150
20180103:0500;0.01;78.65;0;0;0;260.3;1.66;274;100100
20180103:0600;-0.69;85;0;0;0;246.55;1.66;257;100100
20180103:0700;-0.43;72.6;0;0;0;241.7;1.24;249;100070
20180103:0800;-0.6;81.75;32;0;32;246.15;1.24;188;99860
20180103:0900;2.05;82.05;214;488.67;88;247.15;0.62;290;99810
20180103:1000;5.02;65.55;300;596.24;101;256.05;0.76;177;99540
20180103:1100;6.74;56.45;183;46.19;166;257.75;0.34;285;99430
20180103:1200;7.9;54.55;72;0;72;272.5;1.03;337;99180
20180103:1300;8.49;54.65;81;0;81;270.95;1.66;334;99160
20180103:1400;8;59;22;0;22;275.6;2.07;318;99230
20180103:1500;7.02;63.5;24;11.48;23;284.65;2.21;310;99280
20180103:1600;5.53;68.2;0;0;0;278.85;2;271;99330
20180103:1700;3.87;76.15;0;0;0;268.4;2.28;252;99410
20180103:1800;3.29;79.1;0;0;0;277.5;2.62;252;99540
20180103:1900;2.38;88.65;0;0;0;254.85;2.76;259;99590
20180103:2000;2.05;88.65;0;0;0;260.1;2.62;261;99610
20180103:2100;2.05;88.65;0;0;0;270.75;2.83;273;99680
20180103:2200;2.02;88.65;0;0;0;271.5;2.41;269;99720
20180103:2300;1.55;88.6;0;0;0;272.5;1.93;269;99720
20180104:0000;0.93;92.05;0;0;0;269.4;2;282;99680
20180104:0100;0.91;92.05;0;0;0;278.2;1.79;283;99620
20180104:0200;0.87;92.05;0;0;0;282.35;1.66;295;99630
20180104:0300;1.89;85.3;0;0;0;289.9;1.24;292;99620
20180104:0400;2.5;85.35;0;0;0;290.3;1.1;232;99550
20180104:0500;1.53;92.05;0;0;0;292.2;1.93;235;99560
20180104:0600;1.05;92.05;0;0;0;284.5;1.93;271;99570
20180104:0700;0.15;99.4;0;0;0;264.55;1.93;281;99550
20180104:0800;1.02;95.65;120;602.56;32;276.35;1.79;278;99580
20180104:0900;3.91;88.8;195;363.35;101;277.7;1.72;272;99590
20180104:1000;6.44;82.6;306;659.78;85;271.3;1.72;276;99610
20180104:1100;8.13;79.75;358;779.17;70;280.2;1.66;278;99620
20180104:1200;9.12;76.95;347;771.51;69;282.35;1.45;283;99540
20180104:1300;9.61;74.2;285;714.95;65;279.25;1.38;273;99470
20180104:1400;9.71;77;193;705.81;41;276.75;1.38;274;99450
20180104:1500;9.02;79.85;59;413.16;22;283.5;1.24;254;99450
20180104:1600;7.19;85.8;0;0;0;272.65;1.45;247;99430
20180104:1700;5.47;88.9;0;0;0;268.4;1.03;251;99420
20180104:1800;5.39;92.25;0;0;0;276.35;0.76;303;99430
20180104:1900;5.46;88.9;0;0;0;268.4;0.76;123;99400
20180104:2000;4.28;95.75;0;0;0;274.2;1.03;141;99360
20180104:2100;4.35;99.4;0;0;0;272.3;0.48;340;99400
20180104:2200;3.7;99.4;0;0;0;272.5;0.83;336;99430
20180104:2300;2.44;95.7;0;0;0;272.1;1.1;191;99390
20180105:0000;1.47;99.4;0;0;0;286.05;1.1;217;99360
20180105:0100;1.22;100;0;0;0;298.35;0.83;220;99320
20180105:0200;1.18;100;0;0;0;302.85;0.55;201;99330
