timestamp,total_CER_kW
2025-01-01T00:00:00,1.028
2025-01-01T00:15:00,0.731
2025-01-01T00:30:00,0.700
2025-01-01T00:45:00,0.399
2025-01-01T01:00:00,0.638
2025-01-01T01:15:00,0.627
2025-01-01T01:30:00,0.432
2025-01-01T01:45:00,0.694
2025-01-01T02:00:00,0.633
2025-01-01T02:15:00,0.763
2025-01-01T02:30:00,0.898
2025-01-01T02:45:00,0.764
2025-01-01T03:00:00,0.930
2025-01-01T03:15:00,1.039
2025-01-01T03:30:00,0.393
2025-01-01T03:45:00,1.029
2025-01-01T04:00:00,0.747
2025-01-01T04:15:00,0.654
2025-01-01T04:30:00,1.022
2025-01-01T04:45:00,0.848
2025-01-01T05:00:00,10.663
2025-01-01T05:15:00,10.748
2025-01-01T05:30:00,10.680
2025-01-01T05:45:00,10.694
2025-01-01T06:00:00,18.575
2025-01-01T06:15:00,22.489
2025-01-01T06:30:00,24.989
2025-01-01T06:45:00,25.826
2025-01-01T07:00:00,29.706
2025-01-01T07:15:00,23.871
2025-01-01T07:30:00,27.013
2025-01-01T07:45:00,26.602
2025-01-01T08:00:00,33.528
2025-01-01T08:15:00,32.484
2025-01-01T08:30:00,28.704
2025-01-01T08:45:00,27.243
2025-01-01T09:00:00,29.859
2025-01-01T09:15:00,32.171
2025-01-01T09:30:00,34.162
2025-01-01T09:45:00,35.362
2025-01-01T10:00:00,35.531
2025-01-01T10:15:00,31.697
2025-01-01T10:30:00,24.448
2025-01-01T10:45:00,20.456
2025-01-01T11:00:00,30.886
2025-01-01T11:15:00,33.453
2025-01-01T11:30:00,30.403
2025-01-01T11:45:00,35.540
2025-01-01T12:00:00,40.307
2025-01-01T12:15:00,40.571
2025-01-01T12:30:00,33.461
2025-01-01T12:45:00,34.088
2025-01-01T13:00:00,37.956
2025-01-01T13:15:00,46.982
2025-01-01T13:30:00,44.457
2025-01-01T13:45:00,45.969
2025-01-01T14:00:00,49.278
2025-01-01T14:15:00,31.054
2025-01-01T14:30:00,44.974
2025-01-01T14:45:00,36.312
2025-01-01T15:00:00,41.533
2025-01-01T15:15:00,41.906
2025-01-01T15:30:00,36.588
2025-01-01T15:45:00,36.466
2025-01-01T16:00:00,37.929
2025-01-01T16:15:00,36.415
2025-01-01T16:30:00,21.165
2025-01-01T16:45:00,25.650
2025-01-01T17:00:00,32.447
2025-01-01T17:15:00,36.043
2025-01-01T17:30:00,26.417
2025-01-01T17:45:00,22.683
2025-01-01T18:00:00,27.501
2025-01-01T18:15:00,26.868
2025-01-01T18:30:00,34.444
2025-01-01T18:45:00,20.469
2025-01-01T19:00:00,18.508
2025-01-01T19:15:00,23.550
2025-01-01T19:30:00,18.354
2025-01-01T19:45:00,16.932
2025-01-01T20:00:00,9.201
2025-01-01T20:15:00,15.238
