mese,sezione,divisione,gruppo,classe,kwh
1,,,,,3225.93844
1,"A AGRICOLTURA, SILVICOLTURA E PESCA","1 PRODUZIONI VEGETALI E ANIMALI, CACCIA E SERVIZI CONNESSI",1.1 COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI,"1.11  Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso",3044.473676
1,"A AGRICOLTURA, SILVICOLTURA E PESCA","1 PRODUZIONI VEGETALI E ANIMALI, CACCIA E SERVIZI CONNESSI",1.1 COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI,1.12  Coltivazione di riso,3825.020667
1,"A AGRICOLTURA, SILVICOLTURA E PESCA","1 PRODUZIONI VEGETALI E ANIMALI, CACCIA E SERVIZI CONNESSI",1.1 COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI,"1.13  Coltivazione di ortaggi e meloni, radici e tuberi",3275.691929
1,"A AGRICOLTURA, SILVICOLTURA E PESCA","1 PRODUZIONI VEGETALI E ANIMALI, CACCIA E SERVIZI CONNESSI",1.1 COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI,1.16  Coltivazione di piante tessili,3618.45
1,"A AGRICOLTURA, SILVICOLTURA E PESCA","1 PRODUZIONI VEGETALI E ANIMALI, CACCIA E SERVIZI CONNESSI",1.1 COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI,1.19  Coltivazione di altre colture agricole non permanenti,2744.955889
1,"A AGRICOLTURA, SILVICOLTURA E PESCA","1 PRODUZIONI VEGETALI E ANIMALI, CACCIA E SERVIZI CONNESSI",1.2 COLTIVAZIONE DI COLTURE AGRICOLE PERMANENTI,1.21  Coltivazione di uva,2675.53
1,"A AGRICOLTURA, SILVICOLTURA E PESCA","1 PRODUZIONI VEGETALI E ANIMALI, CACCIA E SERVIZI CONNESSI",1.2 COLTIVAZIONE DI COLTURE AGRICOLE PERMANENTI,"1.25  Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio",3592.60025
1,"A AGRICOLTURA, SILVICOLTURA E PESCA","1 PRODUZIONI VEGETALI E ANIMALI, CACCIA E SERVIZI CONNESSI",1.2 COLTIVAZIONE DI COLTURE AGRICOLE PERMANENTI,1.26  Coltivazione di frutti oleosi,1553.3
1,"A AGRICOLTURA, SILVICOLTURA E PESCA","1 PRODUZIONI VEGETALI E ANIMALI, CACCIA E SERVIZI CONNESSI",1.2 COLTIVAZIONE DI COLTURE AGRICOLE PERMANENTI,"1.28  Coltivazione di spezie, piante aromatiche e farmaceutiche",11352.2
