PVSYST 8.0.19
;File;File date;Description
Progetto;PROVA_CER_1_Project.PRJ;25/08/26 10h57;PROVA_CER_1;
Luogo geografico;Duomo_PVGIS_API_TMY.SIT;25/08/26 10h57;Duomo;Italy;Europe;;
Dati meteo;Duomo_PVGIS_API_TMY.MET;25/08/26 10h57;Duomo;PVGIS api TMY;TMY;
Variante di simulazione;PROVA_CER_1_Project.VC0;25/08/26 11h12;Nuova variante di simulazione PROVA;
Simulation date;;25/08/26 16h51

Simulation:;Valori orari; dal 01/01/90; al 31/12/90 

data;E_Grid
    ;kW

01/01/90 00:00;0
01/01/90 01:00;0
01/01/90 02:00;0
01/01/90 03:00;0
01/01/90 04:00;0
01/01/90 05:00;0
01/01/90 06:00;0
01/01/90 07:00;0
01/01/90 08:00;0
01/01/90 09:00;0.6717
01/01/90 10:00;0.5433
01/01/90 11:00;3.0498
01/01/90 12:00;0.313
01/01/90 13:00;1.1343
01/01/90 14:00;0.731
01/01/90 15:00;0.8092
01/01/90 16:00;0
01/01/90 17:00;0
01/01/90 18:00;0
01/01/90 19:00;0
01/01/90 20:00;0
01/01/90 21:00;0
01/01/90 22:00;0
01/01/90 23:00;0
02/01/90 00:00;0
02/01/90 01:00;0
02/01/90 02:00;0
02/01/90 03:00;0
02/01/90 04:00;0
02/01/90 05:00;0
02/01/90 06:00;0
02/01/90 07:00;0
02/01/90 08:00;0
02/01/90 09:00;3.3288
02/01/90 10:00;5.7451
02/01/90 11:00;7.2917
02/01/90 12:00;7.6048
02/01/90 13:00;7.4468
02/01/90 14:00;6.2884
02/01/90 15:00;4.4215
02/01/90 16:00;1.5302
02/01/90 17:00;0
02/01/90 18:00;0
02/01/90 19:00;0
02/01/90 20:00;0
02/01/90 21:00;0
02/01/90 22:00;0
02/01/90 23:00;0
03/01/90 00:00;0
03/01/90 01:00;0
03/01/90 02:00;0
03/01/90 03:00;0
03/01/90 04:00;0
03/01/90 05:00;0
03/01/90 06:00;0
03/01/90 07:00;0
03/01/90 08:00;0
03/01/90 09:00;0.2557
03/01/90 10:00;4.7312
03/01/90 11:00;6.331
03/01/90 12:00;2.4801
03/01/90 13:00;0.683
03/01/90 14:00;0.8032
03/01/90 15:00;0.1244
03/01/90 16:00;0.211
03/01/90 17:00;0
03/01/90 18:00;0
03/01/90 19:00;0
03/01/90 20:00;0
03/01/90 21:00;0
03/01/90 22:00;0
03/01/90 23:00;0
04/01/90 00:00;0
04/01/90 01:00;0
04/01/90 02:00;0
04/01/90 03:00;0
04/01/90 04:00;0
04/01/90 05:00;0
04/01/90 06:00;0
04/01/90 07:00;0
04/01/90 08:00;0
04/01/90 09:00;3.5576
04/01/90 10:00;4.0515
04/01/90 11:00;6.5868
04/01/90 12:00;7.5805
04/01/90 13:00;7.373
04/01/90 14:00;6.3014
04/01/90 15:00;4.8374
04/01/90 16:00;1.8988
04/01/90 17:00;0
04/01/90 18:00;0
04/01/90 19:00;0
04/01/90 20:00;0
04/01/90 21:00;0
04/01/90 22:00;0
04/01/90 23:00;0
05/01/90 00:00;0
05/01/90 01:00;0
05/01/90 02:00;0
05/01/90 03:00;0
05/01/90 04:00;0
05/01/90 05:00;0
05/01/90 06:00;0
05/01/90 07:00;0
05/01/90 08:00;0
05/01/90 09:00;2.1027
05/01/90 10:00;1.1802
05/01/90 11:00;1.5201
05/01/90 12:00;1.3577
05/01/90 13:00;1.5918
05/01/90 14:00;0.4235
05/01/90 15:00;0.0732
05/01/90 16:00;0.2363
05/01/90 17:00;0
05/01/90 18:00;0
05/01/90 19:00;0
05/01/90 20:00;0
05/01/90 21:00;0
05/01/90 22:00;0
05/01/90 23:00;0
06/01/90 00:00;0
06/01/90 01:00;0
06/01/90 02:00;0
06/01/90 03:00;0
06/01/90 04:00;0
06/01/90 05:00;0
06/01/90 06:00;0
06/01/90 07:00;0
06/01/90 08:00;0
06/01/90 09:00;0.1872
06/01/90 10:00;0.5143
06/01/90 11:00;0.4679
06/01/90 12:00;0.2355
06/01/90 13:00;0.7553
06/01/90 14:00;0.6195
06/01/90 15:00;0.4095
06/01/90 16:00;0.0731
06/01/90 17:00;0
06/01/90 18:00;0
06/01/90 19:00;0
06/01/90 20:00;0
06/01/90 21:00;0
06/01/90 22:00;0
06/01/90 23:00;0
07/01/90 00:00;0
07/01/90 01:00;0
07/01/90 02:00;0
07/01/90 03:00;0
07/01/90 04:00;0
07/01/90 05:00;0
07/01/90 06:00;0
07/01/90 07:00;0
07/01/90 08:00;0
07/01/90 09:00;0.4686
07/01/90 10:00;1.6789
07/01/90 11:00;1.2559
07/01/90 12:00;1.1315
07/01/90 13:00;0.6662
07/01/90 14:00;0.8212
07/01/90 15:00;0.3822
07/01/90 16:00;0.019
07/01/90 17:00;0
07/01/90 18:00;0
07/01/90 19:00;0
07/01/90 20:00;0
07/01/90 21:00;0
07/01/90 22:00;0
07/01/90 23:00;0
08/01/90 00:00;0
08/01/90 01:00;0
08/01/90 02:00;0
08/01/90 03:00;0
