Scheda,Penetrazione_pct,IndicatoreA,IndicatoreB,TauB,Concordi,Discordi,DiscriminaA,DiscriminaB
CER_0_7_0,100,MinMax_pro,MinMax_pro,1,NaN,NaN,0,0
CER_0_7_0,100,MinMax_pro,MinMax_con,NaN,NaN,NaN,0,0
CER_0_7_0,100,MinMax_pro,QoS_orig,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,QoS_new,NaN,NaN,NaN,0,0
CER_0_7_0,100,MinMax_pro,EI_orig,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,EI_new,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,Jain,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,Gini,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,FairnessIndex,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,Sigma,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,QuoteNulle,NaN,NaN,NaN,0,0
CER_0_7_0,100,MinMax_pro,EccessoMax_EUR,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,CoalizioniInstabili,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,ForzaIncentivante,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,AllineamentoVirtu,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,ForzaIncentivante_lordo,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,AllineamentoVirtu_lordo,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_pro,VAN_min_EUR,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,MinMax_pro,NaN,NaN,NaN,0,0
CER_0_7_0,100,MinMax_con,MinMax_con,1,NaN,NaN,0,0
CER_0_7_0,100,MinMax_con,QoS_orig,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,QoS_new,NaN,NaN,NaN,0,0
CER_0_7_0,100,MinMax_con,EI_orig,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,EI_new,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,Jain,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,Gini,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,FairnessIndex,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,Sigma,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,QuoteNulle,NaN,NaN,NaN,0,0
CER_0_7_0,100,MinMax_con,EccessoMax_EUR,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,CoalizioniInstabili,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,ForzaIncentivante,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,AllineamentoVirtu,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,ForzaIncentivante_lordo,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,AllineamentoVirtu_lordo,NaN,NaN,NaN,0,1
CER_0_7_0,100,MinMax_con,VAN_min_EUR,NaN,NaN,NaN,0,1
CER_0_7_0,100,QoS_orig,MinMax_pro,NaN,NaN,NaN,1,0
CER_0_7_0,100,QoS_orig,MinMax_con,NaN,NaN,NaN,1,0
CER_0_7_0,100,QoS_orig,QoS_orig,1,NaN,NaN,1,1
CER_0_7_0,100,QoS_orig,QoS_new,NaN,NaN,NaN,1,0
CER_0_7_0,100,QoS_orig,EI_orig,0.89916,113,6,1,1
CER_0_7_0,100,QoS_orig,EI_new,-0.428571,34,85,1,1
CER_0_7_0,100,QoS_orig,Jain,1,119,0,1,1
CER_0_7_0,100,QoS_orig,Gini,0.89916,113,6,1,1
CER_0_7_0,100,QoS_orig,FairnessIndex,0.0252101,61,58,1,1
CER_0_7_0,100,QoS_orig,Sigma,-0.00840336,59,60,1,1
CER_0_7_0,100,QoS_orig,QuoteNulle,NaN,NaN,NaN,1,0
CER_0_7_0,100,QoS_orig,EccessoMax_EUR,-0.142857,51,68,1,1
CER_0_7_0,100,QoS_orig,CoalizioniInstabili,0.0465383,51,46,1,1
CER_0_7_0,100,QoS_orig,ForzaIncentivante,-0.89916,6,113,1,1
CER_0_7_0,100,QoS_orig,AllineamentoVirtu,0.495798,89,30,1,1
