Indicatore,MetodoA,MetodoB,SchedaDa,SchedaA,PenetrazioneDa_pct,PenetrazioneA_pct,DivarioDa,DivarioA,PassiPari
MinMax_con,Shapley,Nucleolo,CER_6_1_0,CER_5_2_0,14.3,28.6,-0.00501256,0.00174915,0
MinMax_con,Shapley,Nash Bargaining,CER_5_2_0,CER_4_3_0,28.6,42.85,7.4506e-05,-1.8197e-05,0
MinMax_con,Shapley,Nash Bargaining,CER_4_3_0,CER_3_4_0,42.85,57.14,-1.8197e-05,1.13747e-05,0
MinMax_con,Shapley,Proportional to Consumption,CER_4_3_0,CER_3_4_0,42.85,57.14,-0.000312794,0.000638568,0
MinMax_con,Shapley,Remuneration Model 1,CER_5_2_0,CER_4_3_0,28.6,42.85,-7.15208e-05,0.000127319,0
MinMax_con,Shapley,Marginal Contribution,CER_5_2_0,CER_4_3_0,28.6,42.85,7.4506e-05,-1.8197e-05,0
MinMax_con,Shapley,Marginal Contribution,CER_4_3_0,CER_3_4_0,42.85,57.14,-1.8197e-05,1.13747e-05,0
MinMax_con,Shapley,Adaptive Sampling Shapley,CER_5_2_0,CER_4_3_0,28.6,42.85,-1.55117e-05,0.000115975,0
MinMax_con,Shapley,Adaptive Sampling Shapley,CER_4_3_0,CER_3_4_0,42.85,57.14,0.000115975,-1.31505e-05,0
MinMax_con,Shapley,Adaptive Sampling Shapley,CER_3_4_0,CER_2_5_0,57.14,71.42,-1.31505e-05,2.14351e-05,0
MinMax_con,Shapley,Tri-level EP,CER_4_3_0,CER_3_4_0,42.85,57.14,-0.000127873,0.00011472,0
MinMax_con,Shapley,Tri-level EP,CER_3_4_0,CER_2_5_0,57.14,71.42,0.00011472,-0.000817089,0
MinMax_con,Nucleolo,Nash Bargaining,CER_6_1_0,CER_5_2_0,14.3,28.6,0.00506189,-0.00167465,0
MinMax_con,Nucleolo,Variance Least Core,CER_4_3_0,CER_3_4_0,42.85,57.14,3.6425e-06,-0.000144572,0
MinMax_con,Nucleolo,Proportional to Consumption,CER_6_1_0,CER_5_2_0,14.3,28.6,0.00493462,-0.00214367,0
MinMax_con,Nucleolo,Remuneration Model 1,CER_6_1_0,CER_5_2_0,14.3,28.6,0.00498608,-0.00182067,0
MinMax_con,Nucleolo,Remuneration Model 1,CER_4_3_0,CER_3_4_0,42.85,57.14,-0.00170748,2.52591e-05,0
MinMax_con,Nucleolo,Cascading Tree,CER_6_1_0,CER_5_2_0,14.3,28.6,0.000953863,-0.010017,0
MinMax_con,Nucleolo,Pearson Key,CER_6_1_0,CER_5_2_0,14.3,28.6,0.00491029,-0.00261439,0
MinMax_con,Nucleolo,Pearson-Sharing Rate,CER_6_1_0,CER_5_2_0,14.3,28.6,0.00491105,-0.0026882,0
MinMax_con,Nucleolo,Similarity-Utilization,CER_6_1_0,CER_5_2_0,14.3,28.6,0.00130368,-0.0107648,0
MinMax_con,Nucleolo,Marginal Contribution,CER_6_1_0,CER_5_2_0,14.3,28.6,0.00506189,-0.00167465,0
MinMax_con,Nucleolo,Stratified Expected Value,CER_6_1_0,CER_5_2_0,14.3,28.6,0.00500823,-0.00183041,0
MinMax_con,Nucleolo,Adaptive Sampling Shapley,CER_6_1_0,CER_5_2_0,14.3,28.6,0.00486047,-0.00176467,0
MinMax_con,Nucleolo,Tri-level EP,CER_6_1_0,CER_5_2_0,14.3,28.6,0.00500178,-0.00197069,0
MinMax_con,Nash Bargaining,Proportional to Consumption,CER_4_3_0,CER_3_4_0,42.85,57.14,-0.000294597,0.000627194,0
MinMax_con,Nash Bargaining,Remuneration Model 1,CER_5_2_0,CER_4_3_0,28.6,42.85,-0.000146027,0.000145516,0
MinMax_con,Nash Bargaining,Adaptive Sampling Shapley,CER_5_2_0,CER_4_3_0,28.6,42.85,-9.00177e-05,0.000134172,0
MinMax_con,Nash Bargaining,Adaptive Sampling Shapley,CER_4_3_0,CER_3_4_0,42.85,57.14,0.000134172,-2.45252e-05,0
MinMax_con,Nash Bargaining,Tri-level EP,CER_4_3_0,CER_3_4_0,42.85,57.14,-0.000109676,0.000103345,0
MinMax_con,Nash Bargaining,Tri-level EP,CER_3_4_0,CER_2_5_0,57.14,71.42,0.000103345,-0.00101836,0
MinMax_con,Variance Least Core,Remuneration Model 1,CER_4_3_0,CER_3_4_0,42.85,57.14,-0.00171112,0.000169832,0
MinMax_con,Equal Split,Weighted Solidarity,CER_4_3_0,CER_3_4_0,42.85,57.14,-0.0011688,0.000531841,0
MinMax_con,Proportional to Consumption,Marginal Contribution,CER_4_3_0,CER_3_4_0,42.85,57.14,0.000294597,-0.000627194,0
MinMax_con,Proportional to Consumption,Stratified Expected Value,CER_4_3_0,CER_3_4_0,42.85,57.14,0.000124672,-0.00117236,0
MinMax_con,Proportional to Consumption,Adaptive Sampling Shapley,CER_6_1_0,CER_5_2_0,14.3,28.6,-7.41496e-05,0.000379009,0
MinMax_con,Proportional to Consumption,Adaptive Sampling Shapley,CER_4_3_0,CER_3_4_0,42.85,57.14,0.000428769,-0.000651719,0
MinMax_con,Proportional to Consumption,Tri-level EP,CER_4_3_0,CER_3_4_0,42.85,57.14,0.000184921,-0.000523849,0
