Indicatore,MetodoA,MetodoB,nInversioni,SegnoIniziale,SegnoFinale,InvertitoAgliEstremi,PenetrazioneSegnoIniziale_pct,PenetrazioneSegnoFinale_pct,DivarioMax,ConfigurazioniValide
MinMax_pro,Shapley,Nucleolo,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Nash Bargaining,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Variance Least Core,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Equal Split,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Proportional to Consumption,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Remuneration Model 1,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Cascading Tree,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Weighted Solidarity,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Pearson Key,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Pearson-Sharing Rate,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Similarity-Utilization,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Marginal Contribution,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Stratified Expected Value,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Adaptive Sampling Shapley,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Shapley,Tri-level EP,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Nash Bargaining,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Variance Least Core,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Equal Split,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Proportional to Consumption,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Remuneration Model 1,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Cascading Tree,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Weighted Solidarity,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Pearson Key,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Pearson-Sharing Rate,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Similarity-Utilization,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Marginal Contribution,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Stratified Expected Value,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Adaptive Sampling Shapley,0,0,0,0,NaN,NaN,0,0
MinMax_pro,Nucleolo,Tri-level EP,0,0,0,0,NaN,NaN,0,0
